0.0,0j
0.125,0j
0.25,0j
0.375,0j
0.5,0j
0.625,0j
0.75,0j
0.875,0j
1.0,0j
1.125,0j
1.25,0j
1.375,0j
1.5,0j
1.625,0j
1.75,0j
1.875,0j
2.0,0j
2.125,0j
2.25,0j
2.375,0j
2.5,0j
2.625,0j
2.75,0j
2.875,0j
3.0,0j
3.125,0j
3.25,0j
3.375,0j
3.5,0j
3.625,0j
3.75,0j
3.875,0j
4.0,0j
4.125,0j
4.25,0j
4.375,0j
4.5,0j
4.625,0j
4.75,0j
4.875,0j
5.0,0j
5.125,0j
5.25,0j
5.375,0j
5.5,0j
5.625,0j
5.75,0j
5.875,0j
6.0,0j
6.125,0j
6.25,0j
6.375,0j
6.5,0j
6.625,0j
6.75,0j
6.875,0j
7.0,0j
7.125,0j
7.25,0j
7.375,0j
7.5,0j
7.625,0j
7.75,0j
7.875,0j
8.0,0j
8.125,0j
8.25,0j
8.375,0j
8.5,0j
8.625,0j
8.75,0j
8.875,0j
9.0,0j
9.125,0j
9.25,0j
9.375,0j
9.5,0j
9.625,(-0+0j)
9.75,0j
9.875,0j
10.0,0j
10.125,0j
10.25,0j
10.375,(-0+0j)
10.5,0j
10.625,0j
10.75,(-0+0j)
10.875,0j
11.0,0j
11.125,0j
11.25,0j
11.375,0j
11.5,0j
11.625,0j
11.75,(-0+0j)
11.875,0j
12.0,0j
12.125,0j
12.25,0j
12.375,(-0+0j)
12.5,0j
12.625,0j
12.75,0j
12.875,0j
13.0,0j
13.125,0j
13.25,0j
13.375,0j
13.5,0j
13.625,0j
13.75,0j
13.875,0j
14.0,(-0+0j)
14.125,0j
14.25,0j
14.375,0j
14.5,0j
14.625,0j
14.75,0j
14.875,0j
15.0,0j
15.125,0j
15.25,0j
15.375,0j
15.5,0j
15.625,0j
15.75,0j
15.875,0j
16.0,0j
16.125,0j
16.25,0j
16.375,0j
16.5,(-0+0j)
16.625,(-0+0j)
16.75,0j
16.875,0j
17.0,0j
17.125,0j
17.25,0j
17.375,0j
17.5,0j
17.625,0j
17.75,0j
17.875,0j
18.0,0j
18.125,0j
18.25,0j
18.375,(-0+0j)
18.5,0j
18.625,0j
18.75,0j
18.875,0j
19.0,0j
19.125,0j
19.25,0j
19.375,0j
19.5,0j
19.625,(-0+0j)
19.75,0j
19.875,0j
20.0,(-1.4891736659527863e-24-3.179567824216927e-23j)
20.125,(9.8311497427795e-24+3.7042245530257055e-23j)
20.25,(1.7936597562803273e-23+6.647837000864732e-23j)
20.375,(-1.0991151058325509e-23+7.659979314897334e-24j)
20.5,(-6.4736515193414675e-24-2.6832396028626956e-23j)
20.625,(-9.409316606088048e-25-5.4688444617815144e-24j)
20.75,(-5.0630899114706366e-23-7.798991125045787e-24j)
20.875,(2.2529698949219007e-23+4.05238931637966e-23j)
21.0,(1.0046990805776497e-23+9.64395653219902e-24j)
21.125,(-7.81584636598769e-24-1.3159773287345265e-23j)
